epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.1456,1.88509,6.34763,1.29956,0.00737,0.66325,0.02005,0.01047,1.58645,4.11296,1.14424,0.00330918,0.00330918,0.00330918
2,53.8686,1.65677,5.27123,1.1669,0.13912,0.09197,0.06685,0.03457,1.62874,3.37182,1.28728,0.00662607,0.00662607,0.00662607
3,78.9924,1.67411,4.56459,1.22521,0.19232,0.30054,0.14139,0.07282,1.68079,3.61011,1.39629,0.00992646,0.00992646,0.00992646
4,103.882,1.69431,4.1708,1.28215,0.10866,0.23375,0.12369,0.06369,1.65706,3.06818,1.40653,0.00992575,0.00992575,0.00992575
5,128.877,1.62751,3.74541,1.2981,0.51914,0.03672,0.04028,0.0161,2.43465,4.13216,1.69073,0.009901,0.009901,0.009901
6,154.532,1.58074,3.2949,1.30263,0.37331,0.49356,0.37761,0.2153,1.5059,2.2911,1.36964,0.00987625,0.00987625,0.00987625
7,180.318,1.5829,2.93091,1.32221,0.30041,0.51747,0.39596,0.23859,1.47639,2.48257,1.37007,0.0098515,0.0098515,0.0098515
8,206.789,1.55281,2.70738,1.30471,0.36793,0.6537,0.51388,0.30273,1.4662,1.94261,1.37203,0.00982675,0.00982675,0.00982675
9,233.292,1.5206,2.46025,1.30766,0.41318,0.67022,0.56867,0.33597,1.45501,1.79929,1.35442,0.009802,0.009802,0.009802
10,259.702,1.52161,2.20064,1.29049,0.4264,0.6503,0.59737,0.35347,1.48524,1.66924,1.38177,0.00977725,0.00977725,0.00977725
11,286.633,1.50207,2.0661,1.29623,0.45631,0.62623,0.57346,0.34153,1.47065,1.81898,1.36828,0.0097525,0.0097525,0.0097525
12,314.023,1.49328,1.93573,1.28331,0.4508,0.67687,0.59243,0.34122,1.46757,1.75656,1.35699,0.00972775,0.00972775,0.00972775
13,341.092,1.49806,1.85547,1.28627,0.44298,0.79359,0.64872,0.38857,1.4268,1.57664,1.34365,0.009703,0.009703,0.009703
14,368.203,1.47615,1.73078,1.28439,0.41895,0.63953,0.5594,0.33646,1.46263,1.75954,1.35713,0.00967825,0.00967825,0.00967825
15,395.158,1.48487,1.67233,1.27467,0.34762,0.5,0.42972,0.246,1.57015,2.41923,1.42093,0.0096535,0.0096535,0.0096535
